Time,Traffic Route,Vehicle Type,Count
08:00,D2C,PCL,1
08:00,D2C,MCL,0
08:00,D2C,CAR,8
08:00,D2C,TAXI,0
08:00,D2C,LGV,0
08:00,D2C,OGV1,0
08:00,D2C,OGV2,0
08:00,D2C,CDB,0
08:00,D2C,BEB,0
08:00,D2C,OB,0
08:00,D2C,TOT,9
08:00,D2C,PCU,8.1
08:15,A2B,PCL,0
08:15,A2B,MCL,0
08:15,A2B,CAR,0
08:15,A2B,TAXI,0
08:15,A2B,LGV,0
08:15,A2B,OGV1,0
08:15,A2B,OGV2,0
08:15,A2B,CDB,0
08:15,A2B,BEB,0
08:15,A2B,OB,0
08:15,A2B,TOT,0
08:15,A2B,PCU,0
08:15,A2C,PCL,0
08:15,A2C,MCL,0
08:15,A2C,CAR,0
08:15,A2C,TAXI,0
08:15,A2C,LGV,0
08:15,A2C,OGV1,0
08:15,A2C,OGV2,0
08:15,A2C,CDB,0
08:15,A2C,BEB,0
08:15,A2C,OB,0
08:15,A2C,TOT,0
08:15,A2C,PCU,0
08:15,A2D,PCL,0
08:15,A2D,MCL,0
08:15,A2D,CAR,0
08:15,A2D,TAXI,0
08:15,A2D,LGV,0
08:15,A2D,OGV1,0
08:15,A2D,OGV2,0
08:15,A2D,CDB,0
08:15,A2D,BEB,0
08:15,A2D,OB,0
08:15,A2D,TOT,0
08:15,A2D,PCU,0
08:15,B2A,PCL,0
08:15,B2A,MCL,0
08:15,B2A,CAR,1
08:15,B2A,TAXI,0
08:15,B2A,LGV,1
08:15,B2A,OGV1,0
08:15,B2A,OGV2,0
08:15,B2A,CDB,0
08:15,B2A,BEB,0
08:15,B2A,OB,0
08:15,B2A,TOT,2
08:15,B2A,PCU,2
08:15,B2C,PCL,0
08:15,B2C,MCL,0
08:15,B2C,CAR,15
08:15,B2C,TAXI,0
08:15,B2C,LGV,0
08:15,B2C,OGV1,0
08:15,B2C,OGV2,0
08:15,B2C,CDB,0
08:15,B2C,BEB,0
08:15,B2C,OB,0
08:15,B2C,TOT,15
08:15,B2C,PCU,15
08:15,B2D,PCL,0
08:15,B2D,MCL,0
08:15,B2D,CAR,0
08:15,B2D,TAXI,0
08:15,B2D,LGV,0
08:15,B2D,OGV1,0
08:15,B2D,OGV2,0
08:15,B2D,CDB,0
08:15,B2D,BEB,0
08:15,B2D,OB,0
08:15,B2D,TOT,0
08:15,B2D,PCU,0
08:15,C2A,PCL,2
08:15,C2A,MCL,0
08:15,C2A,CAR,107
08:15,C2A,TAXI,0
08:15,C2A,LGV,7
08:15,C2A,OGV1,2
08:15,C2A,OGV2,0
08:15,C2A,CDB,0
08:15,C2A,BEB,0
08:15,C2A,OB,0
08:15,C2A,TOT,118
08:15,C2A,PCU,117.2
08:15,C2B,PCL,2
08:15,C2B,MCL,0
08:15,C2B,CAR,158
08:15,C2B,TAXI,0
08:15,C2B,LGV,12
08:15,C2B,OGV1,2
08:15,C2B,OGV2,0
08:15,C2B,CDB,0
08:15,C2B,BEB,1
08:15,C2B,OB,0
08:15,C2B,TOT,175
08:15,C2B,PCU,175.2
08:15,C2D,PCL,0
